iteration;cv_mse;best_so_far_mse
1;;
2;;
3;;
4;;
5;0,03809984541463982;
6;0,03772526677044361;
7;0,03809294915461704;
8;0,03809294915461704;
9;0,03809294915461704;
10;0,03809294915461704;
11;0,03809294915461704;
12;0,03809294915461704;
13;0,03809294915461704;
14;0,03809294915461704;
15;0,03809294915461704;
16;0,03809294915461704;
17;0,03809294915461704;
18;0,035391455301705003;
19;;
20;;
21;;
22;;
23;;
24;;
25;;
26;;
27;;
28;0,03651815963480979;
29;0,03643594616580602;
30;0,03643594616580602;
31;0,03646989899966544;
32;0,03649048099458664;
33;0,03650255765190187;
34;0,03666359812201385;
35;0,03688273732071136;
36;0,031022338092515245;
37;;
38;;
39;;
40;;
41;;
42;;
43;;
44;;
45;;
46;;
47;;
48;;
49;;
50;;
51;;
52;;
53;;
54;;
55;;
56;;
57;;
58;;
59;;
60;;
61;;
62;;
63;;
64;;
65;;
66;;
67;;
68;;
69;;
70;;
71;;
72;;
