Model;Dataset;Num_Features;MAE;MSE;RMSE;RSR;MAPE;sMAPE;R2;EVS;MBE;CV(RMSE)%;MdAE;MaxE;NSE;KGE;CCC;VAF(%);PI;Best_Params
OLS;Train;18;0,1327;0,03;0,1731;0,4309;11,1865;10,9202;0,8142;0,8142;-0,0;13,0298;0,1066;0,9939;0,8142;0,8619;0,8976;81,4191;4,7043;{}
OLS;Test;18;0,1276;0,0296;0,1719;0,4186;10,7365;10,5283;0,8243;0,8244;0,0034;12,9756;0,1013;0,6559;0,8243;0,8573;0,9021;82,4403;4,7949;{}
OLS;Unseen;18;0,1465;0,0396;0,1991;0,4507;10,9441;11,4131;0,7958;0,8111;-0,0544;14,3987;0,1136;1,0418;0,7958;0,8298;0,8845;81,1066;3,9972;{}
XGBoost;Train;8;0,0152;0,0004;0,0198;0,0494;1,2575;1,2567;0,9976;0,9976;-0,0;1,4928;0,0117;0,089;0,9976;0,9971;0,9988;99,7561;50,3079;{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}
XGBoost;Test;8;0,0448;0,0036;0,0597;0,1454;3,6039;3,5551;0,9788;0,9792;0,0085;4,5066;0,0341;0,2101;0,9788;0,97;0,9891;97,9245;16,3929;{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}
XGBoost;Unseen;8;0,0544;0,005;0,0706;0,1599;4,2034;4,1846;0,9743;0,9745;0,0055;5,1071;0,043;0,2741;0,9743;0,9753;0,9869;97,4466;13,7972;{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}
LightGBM;Train;10;0,0213;0,0008;0,028;0,0698;1,7207;1,7186;0,9951;0,9951;-0,0;2,11;0,0171;0,1933;0,9951;0,9935;0,9975;99,5128;35,506;{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}
LightGBM;Test;10;0,0438;0,0034;0,0585;0,1425;3,5066;3,4691;0,9796;0,9798;0,0053;4,4168;0,0358;0,2294;0,9796;0,9641;0,9895;97,9814;16,7404;{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}
LightGBM;Unseen;10;0,0475;0,0043;0,0656;0,1486;3,5531;3,5292;0,9778;0,9778;0,0003;4,7459;0,0359;0,2991;0,9778;0,9398;0,9882;97,7819;14,901;{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}
Ridge;Train;18;0,1329;0,03;0,1731;0,431;11,2013;10,9232;0,8141;0,8141;0,0;13,0318;0,1062;0,9917;0,8141;0,8603;0,8973;81,4133;4,7032;{'solver': 'auto', 'alpha': 1}
