k;h;xx;v1;v2;x1;x2;s1;x3;gama;fi;c;sds;hw;q
0,7;8;1,01;1,8;4,55;1,82;0,36;53,33;0,72;18.0;18.1;18.2;18.3;18.4;18.5
0,65;8;1,2;1,32;6,58;1,98;1,76;32;5,72;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,17;3,5;5,65;1,93;0,5;80;4,5;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;1,06;0,8;2,3;1,64;1,2;14,55;0,2;18.0;18.1;18.2;18.3;18.4;18.5
0,4;8;1,06;1,68;3,02;1,7;0,3;16;0,56;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,17;1,4;1,75;1,64;1,1;0;0,6;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,2;3,78;3,77;1,8;0,84;80;0,42;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,2;1,38;6,97;1,92;1,84;20;0,46;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,17;2,1;5,45;1,87;0,84;80;5,88;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,2;1,5;7,65;1,92;1;0;0,5;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,2;0,96;4,54;1,8;0,32;53,33;3,84;18.0;18.1;18.2;18.3;18.4;18.5
0,65;8;1,2;1,14;5,56;1,2;0;32;0;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;1,2;1,32;6,63;1,5;2,64;53,33;0,88;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,14;2,52;2,18;1,6;0,86;20;3,08;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;0,9;1,8;4,5;1,76;0,36;22,86;2,52;18.0;18.1;18.2;18.3;18.4;18.5
0,8;8;1,17;1,2;5,95;1,17;0;160;0;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;1,17;1,26;6,29;1,81;0,84;26,67;0;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;1,2;0,96;2,99;2,64;1,02;26,67;0;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,2;1,2;5,95;1,2;0;0;0;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;0,93;1,38;6,97;1,91;2,3;53,33;1,38;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;1,2;1,08;5,22;1,2;0;40;0;18.0;18.1;18.2;18.3;18.4;18.5
0,6;8;1,2;1,6;5,5;1,2;0;26,67;0;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,2;1,2;3,9;1,2;0;20;0;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;1,2;0,9;1,85;2,4;0,48;53,33;0;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,06;1,26;6,24;1,59;0,84;17,78;0;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;0,85;2,88;5,87;1,83;0,48;53,33;5,76;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,09;2,88;2,67;1,64;0,32;80;1,28;18.0;18.1;18.2;18.3;18.4;18.5
0,4;8;1,01;0,54;2,21;1,52;0,84;17,78;0;18.0;18.1;18.2;18.3;18.4;18.5
0,4;8;0,98;0,54;2,16;1,76;0,84;16;0;18.0;18.1;18.2;18.3;18.4;18.5
0,4;8;0,93;2;7,15;1,86;1,5;17,78;2;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,17;1,44;7,31;1,64;0,96;22,86;4,32;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,17;1,44;7,31;1,17;0;80;0;18.0;18.1;18.2;18.3;18.4;18.5
0,8;8;1,14;1,2;3,9;2,22;1,5;80;0;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;1,2;1;2,1;2,34;0,5;14,55;0;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,17;0,78;3,57;1,81;1,56;22,86;0;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,2;1,2;1,9;2,4;1,2;20;0;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;0,98;0,96;4,54;0,98;0;14,55;0;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;0,98;1,8;4,5;1,62;0,36;40;2,88;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,17;1,44;7,31;1,81;2,4;20;0;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;0,98;1,26;6,24;1,37;1,68;53,33;0;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,2;1,6;5,5;2,34;1,6;160;0;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,06;1,2;5,9;1,59;1,6;20;5,6;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;1,2;1,4;1,75;1,62;0,9;53,33;0,8;18.0;18.1;18.2;18.3;18.4;18.5
0,9;8;1,2;1,32;2,18;2,52;1,32;0;0;18.0;18.1;18.2;18.3;18.4;18.5
0,9;8;1,2;1,52;5,18;1,5;0,76;0;0;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,17;1,4;1,75;2,57;1,2;80;0;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;1,2;1,2;5,9;1,56;2,4;14,55;1,2;18.0;18.1;18.2;18.3;18.4;18.5
0,4;8;1,14;1,76;6,14;1,14;0;16;0;18.0;18.1;18.2;18.3;18.4;18.5
0,8;8;0,85;3,68;4,67;1,74;1,38;160;5,98;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,2;1,38;6,97;1,56;1,84;80;0;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,2;1,26;6,34;1,74;2,52;160;1,26;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,06;0,6;2,5;1,06;0;160;0;18.0;18.1;18.2;18.3;18.4;18.5
0,4;8;0,98;1,28;4,22;1,62;1,92;16;4,47;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;1,2;1,44;2,51;1,56;1,02;80;0;18.0;18.1;18.2;18.3;18.4;18.5
0,8;8;1,2;1,26;6,24;1,5;1,26;80;0;18.0;18.1;18.2;18.3;18.4;18.5
0,65;8;0,98;1,44;4,86;1,76;1,8;32;5,04;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;1,2;2,88;3,47;1,5;0,36;26,67;2,88;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;0,98;0,96;4,54;1,62;0,96;14,55;3,52;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,2;1,44;4,91;2,28;1,44;0;0;18.0;18.1;18.2;18.3;18.4;18.5
0,7;8;1,2;1,44;7,26;2,58;1,92;40;0;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;0,98;2,04;3,86;1,62;1,02;20;1,02;18.0;18.1;18.2;18.3;18.4;18.5
0,65;8;1,2;0,88;2,62;1,92;0,96;32;0;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;1,06;1,6;5,5;2,12;0,8;22,86;0;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,2;2,66;4,09;1,5;0,76;20;3,8;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;0,98;1,08;5,22;0,98;0;20;0;18.0;18.1;18.2;18.3;18.4;18.5
0,65;8;1,2;0,9;1,85;1,2;0;40;0;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,06;1;2,1;1,06;0;20;0;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;1,2;1,6;3,9;2,16;1,92;14,55;0;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;0,98;1,44;7,26;1,76;0,48;160;3,36;18.0;18.1;18.2;18.3;18.4;18.5
0,8;8;0,98;1,8;3,3;1,52;0,6;80;0,3;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,2;1,92;3,58;2,16;0,96;17,78;0;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;1,2;2,38;3,57;1,2;0;26,67;0;18.0;18.1;18.2;18.3;18.4;18.5
0,8;8;1,17;1,44;4,91;2,34;1,44;160;0;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;1,09;1,8;1,35;1,53;0,3;16;0,2;18.0;18.1;18.2;18.3;18.4;18.5
0,65;8;1,2;1,8;3,35;1,2;0;40;0;18.0;18.1;18.2;18.3;18.4;18.5
0,65;8;0,98;1,44;7,26;1,42;0,48;32;0;18.0;18.1;18.2;18.3;18.4;18.5
0,4;8;1,01;1,44;7,31;1,01;0;17,78;0;18.0;18.1;18.2;18.3;18.4;18.5
0,35;8;1,2;1,32;2,18;1,5;0,74;14,55;0;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,06;1,26;6,24;1,06;0;160;0;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,2;2,88;5,82;2,04;2,4;17,78;0;18.0;18.1;18.2;18.3;18.4;18.5
0,5;8;1,2;1,44;2,56;1,2;0;26,67;0;18.0;18.1;18.2;18.3;18.4;18.5
0,85;8;1,14;1,44;7,26;1,14;0;160;0;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,2;1;2,2;2,46;0,9;22,86;0;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,17;1,44;7,31;1,17;0;20;0;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;1,2;2;7,15;1,68;2;26,67;3;18.0;18.1;18.2;18.3;18.4;18.5
0,55;8;1,06;1,5;7,6;1,43;0,5;22,86;0;18.0;18.1;18.2;18.3;18.4;18.5
0,45;8;1,2;2,1;5,45;1,2;0;20;0;18.0;18.1;18.2;18.3;18.4;18.5
0,75;8;0,85;1,26;6,29;1,74;1,68;80;4,2;18.0;18.1;18.2;18.3;18.4;18.5
