feature;mean;scale
H;6,998575498575499;2,0092374194785267
X1;6,175783475783475;2,435260277626178
X2;1,8321367521367522;0,9821582105392299
X3;0,45085470085470086;0,09940698224434542
X4;0,3768874643874643;0,08000844960440481
X5;0,8376994301994303;0,37320746233522084
X6;0,5169871794871795;0,4114529842402323
X7;1,0676210826210826;0,7296417643507449
X8;2,0933119658119654;1,683198924006621
q;10,242165242165242;7,066919837912912
sds;1,209045584045584;0,38009138303907436
v2;3,8927920227920225;1,8329856421022201
x1;1,3546866096866097;0,6983642681826303
s1;50,44235042735043;57,61104701290182
gama;18,826923076923077;1,1438371680520412
c;17,72792022792023;15,771969833431868
fi;30,552706552706553;6,97304025482215
hw;6,87752849002849;5,258078916452136
