H;X1;X2;X3;X4;X5;X6;X7;X8;q;sds;v2;x1;s1;gama;c;fi;hw;fss
10;3;1,35;0,55;0,55;1;0,2;0,75;1,5;10;0,9;1,1;1,2;0;20;0;36;0;0,408861911
8;2,8;1,12;0,3;0,3;0,48;0,05;0,14;0,42;20;1,2;1,38;0,53;0;20;0;36;0;0,411228861
8;4,8;1,92;0,4;0,35;0,8;0,72;1,44;1,92;5;1,3;2,48;1,52;160;20;0;36;0;0,450511419
5;2,25;0,34;0,6;0,35;0,35;0,4;0,45;1,46;0;1,6;1,31;0,75;20;20;0;36;0;0,463208441
10;5;0,75;0,3;0,3;1,2;0,48;1;0,75;0;1,7;3,95;1,68;0;20;0;36;0;0,475567079
9;3,6;0,54;0,3;0,3;1,08;0,7;0,36;0,9;0;1,8;2,76;1,78;0;20;0;36;0;0,480018143
6;3,6;1,62;0,5;0,4;0,72;0,54;0,9;0,9;0;1,5;1,48;1,26;60;20;0;36;0;0,480870904
9;3,15;0,79;0,35;0,3;0,54;0,54;0,16;1,42;5;1,1;2,01;1,08;180;20;0;40;0;0,505603091
6;4,2;1,89;0,4;0,4;0,54;0,27;0,21;2,94;5;1,5;1,91;0,81;0;20;0;40;0;0,512092732
5;2,75;0,82;0,3;0,3;0,65;0,32;0,82;1,51;15;1,3;1,63;0,97;0;20;0;36;0;0,522179665
7;4,2;1,68;0,5;0,35;0,7;0,81;0,21;0,42;20;1,3;2,02;1,51;46,67;20;0;36;0;0,522833304
5;4,75;1,9;0,4;0,4;0,3;0,03;0,48;2,85;5;0,9;2,45;0,33;0;20;0;36;0;0,523754313
7;5,95;2,68;0,45;0,45;0,42;0,42;0,3;1,79;10;1,6;2,82;0,84;0;20;0;40;0;0,526172265
7;4,55;2,05;0,5;0,45;0,7;0,7;0,68;2,05;10;1,3;2;1,4;140;20;0;36;0;0,531147784
5;4;1,4;0,4;0,4;0,3;0,32;1,2;0,6;15;1;2,2;0,62;0;20;0;36;0;0,53124611
8;5,6;2,24;0,35;0,3;1,12;1,29;0,84;0,84;10;1,8;3,01;2,41;160;20;0;36;0;0,53253102
8;7,6;2,28;0,55;0,55;1,04;0,16;1,14;4,94;5;1,4;4,77;1,2;0;20;0;36;0;0,536018107
8;4;0,8;0,35;0,3;1,28;0,32;0,8;2;15;1,7;2,85;1,6;160;20;0;36;0;0,536979788
6;7,5;1,12;0,5;0,3;0,48;0,22;1,12;4,5;5;1,8;5,88;0,7;30;20;0;40;0;0,541333292
6;2,4;0,36;0,4;0,35;0,84;0,84;0,24;1,68;10;1,8;1,64;1,68;120;20;0;36;0;0,542196167
6;4,8;0,72;0,45;0,3;0,42;0,06;0,48;1,2;0;1,1;3,63;0,48;40;20;0;36;0;0,545349382
8;2,4;0,36;0,55;0,55;0,88;0,22;0,36;0,36;0;0,7;1,49;1,1;0;20;0;36;0;0,546668763
8;8,4;3,78;0,3;0,3;0,8;0,4;2,1;2,1;0;1,6;4,32;1,2;0;20;0;40;0;0,547298927
8;8,4;1,68;0,3;0,3;0,72;0;0;0;15;1,3;6,42;0,72;0;20;0;36;0;0,547553747
9;8,55;3,42;0,3;0,3;1,08;0,92;0,86;2,57;10;1,1;4,83;2;0;20;0;36;0;0,550225101
9;3,6;0,54;0,4;0,4;0,54;0,57;0,9;1,26;10;0,8;2,66;1,11;0;20;0;40;0;0,55079511
7;5,6;1,4;0,55;0,3;0,91;0,23;1,4;0,84;15;1,6;3,65;1,14;28;20;0;36;0;0,551527799
8;4,8;0,96;0,3;0,3;1,12;1,18;0,24;2,4;5;1,3;3,54;2,3;0;20;0;36;0;0,55527251
5;4,5;0,9;0,35;0,35;0,5;0,5;0,23;2,48;5;1;3,25;1;0;20;0;36;0;0,558352376
4;9,6;2,4;0,55;0,45;0,56;0,5;1,44;2,88;0;1,7;6,65;1,06;40;20;0;36;0;0,564213947
9;2,7;0,68;0,3;0,3;1,44;1,15;0,81;0,68;5;1,4;1,72;2,59;0;20;0;36;0;0,564639803
4;1,2;0,24;0,55;0,45;0,72;0,11;0,18;0,72;20;1,7;0,41;0,83;40;20;0;36;0;0,568841996
10;6,5;1,95;0,35;0,3;1,7;0,09;0,65;2,27;20;1,5;4,2;1,79;200;20;0;36;0;0,57141011
9;3,6;1,08;0,45;0,35;1,17;0,64;0,36;1,8;20;0,9;2,07;1,81;90;20;0;36;0;0,573250272
4;6,4;1,6;0,6;0,35;0,32;0,24;1,6;1,6;15;1,8;4,2;0,56;16;20;0;40;0;0,573943527
9;4,95;2,23;0,4;0,4;1,08;0,11;1,24;3,46;0;1;2,32;1,19;0;20;0;40;0;0,574690113
