iteration;cv_mse;best_so_far_mse
1;0,06382137670330199;0,06382137670330199
2;0,010217115938391738;0,010217115938391738
3;0,005427920368312716;0,005427920368312716
4;0,11549557939653095;0,005427920368312716
5;0,046825269472517174;0,005427920368312716
6;;
7;0,11647814244991617;
8;0,006292970093529933;
9;;
10;0,012613402970348039;
11;;
12;;
13;;
14;0,019380216619135127;
15;0,1314711769475452;
16;0,059732164880593616;
17;0,06249000519967461;
18;;
19;;
20;;
21;;
22;0,06428180570141646;
23;;
24;;
25;0,08121005712357107;
26;0,0450767561503264;
27;0,004958142842318778;
28;;
29;0,054932322477355175;
30;;
31;;
32;;
33;0,008015069553987097;
34;0,10002325371409856;
35;0,12296482914080069;
36;;
37;;
38;0,010848588495874783;
39;;
40;0,12225054980395555;
41;0,0948615426541181;
42;;
43;0,004102182798696007;
44;;
45;;
46;0,013909079743883394;
47;;
48;0,00835785996345496;
49;;
50;0,003875998593159351;
51;;
52;;
53;0,0669564101783566;
54;0,08146983855497195;
55;0,10648061844732729;
56;;
57;;
58;;
59;;
60;;
61;0,038421516549555494;
62;0,07543930574931752;
63;0,011863902495148043;
64;0,003775686734302991;
65;;
66;;
67;;
68;0,101129843047613;
69;;
70;0,03065182675264916;
71;;
72;0,046638382398418124;
73;0,08174408283135046;
74;;
75;0,038270671070164804;
76;;
77;0,003948153828287785;
78;;
79;0,07374826063008706;
80;0,016000902965176513;
81;0,07946335969612053;
82;;
83;;
84;;
85;;
86;0,04437921614840755;
87;0,120307445185274;
88;0,12225054981674918;
89;;
90;0,11005940063474165;
91;0,003501647637068725;
92;;
93;;
94;;
95;0,07382195112889264;
96;;
97;0,010539669232525787;
98;;
99;0,005049801705834423;
100;0,05417454079267063;
101;0,038095522392975596;
102;;
103;0,007609372812920187;
104;0,007079344885970153;
105;0,0040891767710143035;
106;0,0064983759050903644;
107;;
108;;
109;0,006925285872108747;
110;;
111;;
112;;
113;;
114;0,02851148173751276;
115;;
116;;
117;0,023285153690925507;
118;0,055385484495275084;
119;0,03272175362997775;
120;;
121;0,047508382670315916;
122;;
123;;
124;0,03699373755979991;
125;0,122336634727733;
126;0,0634619686486449;
