iteration;cv_mse;best_so_far_mse
1;;
2;;
3;;
4;;
5;;
6;0,01369627264558979;
7;;
8;;
9;;
10;0,008812622724118174;
11;0,016814831312981286;
12;;
13;0,033401527626613726;
14;;
15;;
16;;
17;;
18;;
19;0,007319023636802249;
20;0,008439681088627514;
21;;
22;;
23;0,016295104966553335;
24;0,048632815740551005;
25;0,009189870494647406;
26;;
27;0,02354829046152702;
28;;
29;;
30;;
31;0,06141191465354854;
32;;
33;;
34;0,12225054975947414;
35;;
36;;
37;0,02608406319166181;
38;;
39;;
40;;
41;;
42;;
43;0,015019943439443606;
44;;
45;;
46;;
47;;
48;;
49;;
50;0,12225054975947414;
51;0,03033071792789746;
52;;
53;;
54;;
55;;
56;;
57;;
58;;
59;;
60;0,0173952561523184;
61;0,008149682288656122;
62;;
63;;
64;0,012543827326242266;
65;0,017428673895490146;
66;0,02310513287082335;
67;;
68;0,08002739974517645;
69;0,036363617595017245;
70;;
71;0,009864966078749721;
72;;
73;0,07920136257594036;
74;;
75;;
76;;
77;;
78;0,025893021567863404;
79;0,022856975556117286;
80;;
81;0,04407856683646167;
82;;
83;0,05982958248493041;
84;;
85;;
86;;
87;;
88;;
89;0,02779047991092064;
90;;
91;0,02895110414823121;
92;0,013310777607405021;
93;0,025413672107985303;
94;0,009530750462702568;
95;0,04777432873309319;
96;0,04724198298639435;
97;;
98;;
99;0,031056043471343497;
100;;
101;;
102;;
103;;
104;;
105;0,009811089567747575;
106;;
107;0,022744594143413857;
108;;
109;0,016483848190707258;
110;;
111;0,021173725102174447;
112;0,060723484407503546;
113;;
114;;
115;;
116;0,06194760841201441;
117;0,00791845099958939;
118;;
119;0,009545863378735682;
120;;
121;0,02575770145198285;
122;;
123;;
124;;
125;;
126;;
127;0,013470279984801556;
128;;
129;;
130;;
131;0,04850719664503892;
132;;
133;0,01662341587389027;
134;0,05696990307838688;
135;;
136;0,06644402848047529;
137;;
138;;
139;;
140;;
141;;
142;0,00812502005398457;
143;0,009806806197387875;
144;;
145;;
146;0,06115397250028669;
147;;
148;;
149;0,02906847582491671;
150;;
151;0,009169115646926268;
152;;
153;;
154;;
155;;
156;;
157;;
158;;
159;;
160;;
161;;
162;0,009587266094894204;
163;0,014869330469720565;
164;0,02706678976807076;
165;;
166;0,03002209733119604;
167;;
168;0,02348603313397257;
169;;
170;;
171;0,05601919023946282;
172;;
173;;
174;0,025495693564782908;
175;0,021249084699409143;
176;0,009419320044488023;
177;0,07977135575665763;
178;0,032205888598245365;
179;;
180;0,07948506584546067;
181;0,05976349387113268;
182;;
183;0,05763735817302599;
184;;
185;;
186;;
187;;
188;0,021574834973549818;
189;0,009430203013788819;
190;;
191;;
192;0,009365800545559426;
193;;
194;;
195;0,01464055299748028;
196;;
197;;
198;0,014401374222059574;
199;0,01439156866631119;
200;;
201;;
202;;
203;;
204;;
205;0,008819386404971008;
206;;
207;0,03555743743428589;
208;;
209;;
210;0,009923309884717792;
211;;
212;0,014663453898964915;
213;0,020879699348552827;
214;0,020180917364280977;
215;;
216;;
217;;
218;0,12225054975947414;
219;;
220;0,008593450466977024;
221;0,05577374572795575;
222;;
223;0,12225054975947414;
224;;
225;;
226;0,007592399935511043;
227;;
228;;
229;0,007881676126133361;
230;0,021384671465417473;
231;;
232;;
233;0,025678519985488486;
234;;
235;;
236;;
237;;
238;;
239;;
240;;
241;;
242;0,020537226380656713;
243;;
244;0,025827652947604963;
245;;
246;;
247;0,04164934691325021;
248;;
249;0,02159726644940559;
250;;
251;;
252;;
253;0,08044882417128503;
254;;
255;0,12225054975947411;
